CustomerID,Age,Gender,Location,IncomeLevel,PurchaseFrequency,AvgOrderValue,RecencyDays,TenureDays,Churned,CLV
CUST1000,56,Female,Urban,Medium,7,76.85,211,298,0,439.2
CUST1001,46,Male,Urban,Low,3,28.0,318,1304,1,150.05
CUST1002,32,Male,Urban,Low,5,57.19,31,1423,0,1114.81
CUST1003,60,Female,Urban,Low,5,51.11,282,647,0,452.99
CUST1004,25,Male,Urban,Low,4,32.06,185,802,0,281.78
CUST1005,38,Female,Rural,Medium,4,74.75,66,894,0,732.35
CUST1006,56,Female,Rural,High,4,69.81,316,555,0,424.6
CUST1007,36,Male,Suburban,Low,4,80.77,63,1645,0,1456.07
CUST1008,40,Male,Rural,Medium,6,73.6,228,917,0,1109.44
CUST1009,28,Male,Suburban,Medium,6,50.2,101,1559,0,1286.5
CUST1010,28,Female,Urban,High,6,62.39,356,701,0,718.94
CUST1011,41,Male,Urban,Low,7,56.64,139,207,1,112.43
CUST1012,53,Male,Suburban,Medium,5,31.86,119,1720,0,750.67
CUST1013,57,Male,Suburban,High,8,23.91,57,1600,0,838.49
CUST1014,41,Female,Urban,Medium,4,57.38,131,288,0,181.1
CUST1015,20,Male,Suburban,Medium,5,51.93,37,289,0,205.59
CUST1016,39,Male,Urban,Low,1,43.27,111,1188,1,70.42
CUST1017,19,Female,Suburban,Low,7,48.15,153,1514,0,1398.06
CUST1018,41,Female,Rural,Medium,5,85.39,250,1542,0,1803.72
CUST1019,61,Male,Suburban,Medium,9,10.0,242,672,0,165.7
CUST1020,47,Male,Rural,Low,5,62.8,208,110,0,94.63
CUST1021,55,Male,Rural,Medium,8,66.85,170,1420,0,2080.59
CUST1022,19,Female,Rural,Medium,9,69.35,257,1112,1,950.76
CUST1023,38,Male,Rural,Medium,5,22.43,279,1127,1,173.14
CUST1024,50,Female,Rural,Medium,9,44.14,363,1292,0,1406.19
CUST1025,29,Female,Suburban,High,5,43.14,113,158,1,46.69
CUST1026,39,Female,Urban,Medium,6,55.84,175,441,0,404.8
CUST1027,61,Male,Urban,High,3,27.41,89,344,1,38.75
CUST1028,42,Female,Suburban,Low,5,57.57,135,1427,1,562.69
CUST1029,44,Female,Urban,Low,5,32.3,294,1490,0,659.27
CUST1030,59,Female,Urban,Low,8,44.05,303,1191,0,1149.89
CUST1031,45,Male,Rural,Low,7,76.9,359,484,1,356.9
CUST1032,33,Other,Rural,Low,8,66.84,206,644,0,943.45
CUST1033,32,Male,Rural,Low,12,52.48,318,928,0,1601.14
CUST1034,64,Male,Urban,High,2,22.15,73,932,0,113.12
CUST1035,61,Male,Urban,Low,6,56.65,259,1062,1,494.48
CUST1036,20,Female,Urban,Medium,4,57.99,358,261,1,82.93
CUST1037,54,Male,Urban,Low,7,10.0,148,640,0,122.74
CUST1038,24,Male,Urban,High,4,57.02,225,759,1,237.14
CUST1039,38,Male,Urban,Medium,4,28.48,105,994,0,310.24
CUST1040,26,Male,Rural,Low,3,20.41,44,1450,1,121.62
CUST1041,56,Female,Suburban,Medium,6,27.56,356,1802,0,816.38
CUST1042,35,Female,Urban,Medium,6,10.0,26,1787,0,293.75
CUST1043,21,Male,Urban,Medium,4,41.85,304,1733,0,794.81
CUST1044,42,Male,Suburban,Medium,7,29.89,261,911,0,522.22
CUST1045,31,Female,Urban,Medium,6,72.81,59,1627,0,1947.32
CUST1046,26,Male,Rural,Medium,6,42.82,61,347,1,122.12
CUST1047,43,Male,Urban,Medium,6,35.6,305,1560,0,912.92
CUST1048,19,Other,Urban,Low,2,18.14,70,551,1,27.38
CUST1049,37,Female,Urban,High,4,41.44,271,1799,0,816.99
CUST1050,45,Male,Urban,Medium,2,77.07,257,1140,0,481.42
CUST1051,64,Female,Suburban,Medium,4,80.95,125,1832,0,1625.21
CUST1052,24,Male,Suburban,Low,4,42.71,19,745,1,174.35
CUST1053,61,Female,Suburban,Medium,3,48.61,119,1371,0,547.76
CUST1054,25,Male,Urban,High,5,64.06,320,1386,1,608.13
CUST1055,64,Male,Suburban,Low,6,29.49,66,1413,1,342.49
CUST1056,52,Male,Suburban,Medium,4,57.38,245,1294,0,813.7
CUST1057,31,Female,Rural,Medium,4,97.33,57,1109,0,1182.89
CUST1058,34,Female,Urban,High,2,65.3,44,1163,1,208.07
CUST1059,53,Male,Urban,Medium,9,64.66,12,1102,1,878.49
CUST1060,57,Male,Suburban,Medium,9,76.88,236,1808,0,3427.37
CUST1061,21,Female,Suburban,High,8,68.08,24,1069,0,1595.12
CUST1062,19,Male,Urban,Medium,6,44.94,257,1126,0,831.82
CUST1063,23,Male,Urban,Low,8,26.4,284,913,0,528.29
CUST1064,59,Other,Urban,Low,4,47.33,324,231,0,119.82
CUST1065,21,Male,Rural,Medium,7,30.61,361,122,0,71.62
CUST1066,46,Female,Urban,Low,6,44.36,251,1702,0,1241.11
CUST1067,35,Other,Rural,Low,6,32.58,94,1086,0,581.62
CUST1068,43,Male,Suburban,High,7,42.2,22,1653,1,668.9
CUST1069,61,Male,Rural,Low,2,20.29,157,448,1,24.9
CUST1070,51,Male,Rural,Medium,7,36.13,89,1256,1,435.14
CUST1071,27,Female,Urban,Low,6,58.11,202,580,1,277.02
CUST1072,53,Female,Rural,Medium,6,63.16,197,655,0,680.05
CUST1073,31,Female,Urban,Medium,6,58.82,45,874,1,422.54
CUST1074,48,Male,Rural,Low,5,42.48,79,1812,1,527.22
CUST1075,32,Female,Suburban,Medium,7,52.5,39,1908,1,960.53
CUST1076,25,Female,Urban,Low,5,88.88,284,1974,0,2403.41
CUST1077,31,Female,Suburban,High,9,35.59,155,911,0,799.46
CUST1078,40,Female,Rural,High,6,82.1,149,749,0,1010.84
CUST1079,57,Female,Urban,Medium,5,21.12,343,1365,0,394.92
CUST1080,38,Female,Suburban,Medium,3,15.82,52,973,1,63.26
CUST1081,33,Female,Suburban,Medium,10,47.05,251,1522,0,1961.92
CUST1082,62,Male,Rural,Medium,3,49.25,147,423,1,85.61
CUST1083,35,Male,Urban,Medium,4,27.39,329,838,0,251.54
CUST1084,64,Female,Urban,Low,4,43.42,350,901,0,428.73
CUST1085,41,Male,Urban,Medium,5,58.05,258,1264,0,1005.14
CUST1086,43,Female,Suburban,Low,8,30.5,273,896,0,598.97
