iter	RMSE
0	543.4190971
1	503.6951233
2	468.0393474
3	440.0303944
4	409.3235368
5	384.572268
6	359.7722917
7	336.3677611
8	319.1537091
9	299.823982
10	282.3986634
11	266.4750593
12	251.2026104
13	238.1497355
14	226.9754443
15	215.7206478
16	205.156728
17	194.1026724
18	184.1690887
19	174.878186
20	167.1951271
21	160.5544998
22	153.84819
23	147.301863
24	140.997493
25	135.3620225
26	130.4448822
27	125.8439063
28	122.4776046
29	118.0485564
30	117.7310344
31	114.9508228
32	111.0330945
33	108.3697781
34	104.7661663
35	101.6534653
36	99.29407155
37	97.05285412
38	95.52765614
39	93.39906728
40	91.08976354
41	88.80680875
42	86.57028911
43	84.45340896
44	83.37594166
45	81.57929132
46	81.2429983
47	79.34569294
48	78.90379314
49	76.92333895
50	75.38024959
51	73.58375952
52	72.88635788
53	71.31602888
54	71.18715856
55	69.36921232
56	68.08718829
57	67.32119907
58	66.76706524
59	65.3258529
60	64.53872376
61	63.34297015
62	62.47703779
63	61.44970341
64	60.43831009
65	59.72492831
66	59.2375172
67	58.71519673
68	57.75430442
69	57.67288186
70	56.75723991
71	55.98155267
72	55.29112763
73	54.56555119
74	53.72285988
75	53.14505912
76	52.94173597
77	52.23462078
78	51.20109177
79	50.3642
80	49.71215461
81	49.02447156
82	48.4166345
83	48.12172585
84	47.68400411
85	47.33807189
86	46.68594399
87	46.06833721
88	45.46631723
89	44.9450209
90	44.44914915
91	44.0413526
92	43.47491828
93	42.95742331
94	42.88241354
95	42.42149309
96	42.36393248
97	42.02352781
98	41.53159272
99	41.29827871
