iter	Passed	Remaining
0	2	241
1	5	273
2	9	293
3	12	293
4	14	284
5	17	278
6	20	275
7	23	271
8	26	268
9	29	269
10	32	265
11	36	264
12	39	263
13	42	258
14	44	254
15	47	250
16	50	247
17	53	244
18	56	241
19	59	238
20	62	235
21	65	232
22	68	229
23	71	225
24	73	221
25	77	219
26	80	217
27	83	213
28	85	210
29	88	207
30	90	200
31	93	199
32	96	196
33	99	192
34	102	189
35	105	186
36	108	185
37	111	182
38	114	179
39	117	176
40	120	173
41	123	170
42	125	166
43	129	164
44	131	161
45	134	158
46	137	154
47	140	152
48	143	149
49	146	146
50	148	143
51	151	140
52	154	136
53	156	133
54	157	129
55	160	126
56	163	123
57	166	120
58	169	117
59	172	114
60	175	112
61	178	109
62	182	106
63	184	103
64	187	100
65	190	98
66	193	95
67	196	92
68	198	89
69	200	85
70	203	83
71	206	80
72	209	77
73	212	74
74	215	71
75	218	69
76	221	66
77	224	63
78	227	60
79	229	57
80	232	54
81	235	51
82	238	48
83	241	45
84	244	43
85	246	40
86	249	37
87	251	34
88	254	31
89	257	28
90	260	25
91	262	22
92	265	19
93	268	17
94	270	14
95	273	11
96	276	8
97	278	5
98	281	2
99	284	0
